"id_origem_dados_pontos","lon","lat","rumo","veloc","irin","mmsi","dh","imo","fonte","id_origem_dados","nome_navio"
"1569409871","-45.2598333","-25.3591667","232","12.6","HO8262","374601000","2019-10-23 09:04:39-03","9751779","AIS-S","29","CMM RAPIDITY"
"1569599997","-40.33795","-20.32263","0","0","PS4266","710011720","2019-10-23 11:39:48-03","0","AIS-S","29","CNL AMETISTA"
"1569400435","-40.2706917","-20.3158217","173.3","0","PS4265","710011760","2019-10-23 05:11:41-03","9224908","AIS-S","29","CNL SAFIRA"
"1569444052","-58.339725","-34.6357983","3","0.1","LW3186","701006790","2019-10-23 09:42:06-03","9290610","AIS-S","29","COIPO"
"1569482285","-58.3599717","-34.6254667","0","0","CXLD","770576220","2019-10-23 10:00:37-03","8704937","AIS-S","29","COLONIA EXPRESS"
"1569492922","-56.05216","-35.0422517","311","0.3","LXON","253095000","2019-10-23 07:04:11-03","9462639","AIS-S","29","CONCEPCION"
"1569419142","-38.508225","-12.9583233","26","10.6","CQBD","255805832","2019-10-23 09:43:28-03","9222285","AIS-S","29","CONTI LYON"
"1569510843","-60.7028567","-32.688265","230.1","0","LW 3301","701006679","2019-10-23 09:15:12-03","9769362","AIS-S","29","COOPOR ESTIBADOR I"
"1569421722","-60.7030333","-32.688","331","0","LW 2888","701006680","2019-10-23 09:04:33-03","9769374","AIS-S","29","COOPOR ESTIBADOR II"
"1569516560","-55.6685","-34.8806667","108","4.2","CXRH","770576114","2019-10-23 00:01:45-03","0","AIS-S","29","COPAMAR"
"1569480432","-58.95757","-34.1552317","0","0","LW2883","701006505","2019-10-23 01:10:58-03","0","AIS-S","29","COPRAC  1"
"1569409913","-57.5378183","-38.04863","0","0","LW9906","701000820","2019-10-23 08:11:01-03","0","AIS-S","29","CORAJE"
"1569469825","-34.0285667","-6.8014667","25","11.6","3ERR6","370150000","2019-10-23 11:32:02-03","9464405","AIS-S","29","CORAL RUBY"
"1569421996","-44.3781917","-2.56496","342.3","0.2","PS9778","710003880","2019-10-23 10:34:36-03","9440552","AIS-S","29","CORONA"
"1569532757","-40.27335","-20.37775","67","0","H3XH","357313000","2019-10-23 09:15:04-03","9228643","AIS-S","29","CORSAIR"
"1569478703","-44.29765","-2.3194","193","0.1","VRFV5","477617800","2019-10-23 07:37:00-03","9377391","AIS-S","29","COSCO ANSTEEL"
"1569478699","-48.6647833","-26.89745","109","11.6","3ELZ8","355808000","2019-10-23 09:02:21-03","9335185","AIS-S","29","COSCO NEW YORK"
"1569423995","-56.19978","-34.8971917","125.8","0","6NKQ","441050000","2019-10-23 09:08:28-03","8217491","AIS-S","29","COSECHA"
"1569398318","-38.6040217","-12.9635533","331.3","0.5","PR2355","710002881","2019-10-23 08:32:23-03","0","AIS-S","29","COSTA DO MAR"
"1569414528","-38.5254267","-12.9658183","117.1","8.6","PQ8943","710002883","2019-10-23 10:11:51-03","0","AIS-S","29","COSTA DO SOL II"
"1569419049","-24.419635","-7.4035517","125","13.6","VRRS2","477162500","2019-10-23 00:38:40-03","9804277","AIS-S","29","COSWISH LAKE"
"1569434146","-24.38925","-7.1261667","110","14","7JWJ","431312000","2019-10-23 06:43:10-03","9252204","AIS-S","29","COURAGEOUS ACE"
"1569409098","-43.1390367","-22.8972283","310.2","0.1","PS7255","710000910","2019-10-23 10:33:43-03","9328687","AIS-S","29","C  OURO"
"1569424087","-39.8314167","-22.0907","49","0.1","PU4303","710003612","2019-10-23 11:34:24-03","9545857","AIS-S","29","COXON TIDE"
"1569433508","-33.817225","-11.2411333","204","12.3","V7IL3","538006814","2019-10-23 05:04:34-03","9710517","AIS-S","29","CP CHONGQING"
"1569413361","-45.7990917","-28.7567","86","13.2","V7TF9","538006959","2019-10-23 09:32:07-03","9710531","AIS-S","29","CP SHENZHEN"
"1569409101","-48.5226883","-25.5019983","287.1","2.6","PPZV","710006010","2019-10-23 09:08:33-03","0","AIS-S","29","C QUARTZO"
"1569513437","-43.78787","-22.9542183","74.2","0","PQ2249","710000388","2019-10-23 00:06:12-03","9573189","AIS-S","29","CRATER"
"1569556411","-59.6410183","-33.68657","68","0","D5EV7","636016175","2019-10-23 11:32:22-03","9372767","AIS-S","29","CRESSIDA"
"1569390194","-46.3535967","-24.0814417","205","0.1","9V3468","564895000","2019-10-23 10:03:07-03","9748033","AIS-S","29","CRIMSON KINGDOM"
"1569405621","-40.341215","-20.3249683","88","0","9V2042","563307000","2019-10-23 09:12:14-03","9660059","AIS-S","29","CRIMSON MAJESTY"
"1569409914","-58.5943517","-34.4049233","115.9","0","LW 3887","701006116","2019-10-23 05:07:40-03","7212470","AIS-S","29","CRUZ DEL SUR"
"1569410545","-57.783895","-34.7643667","110","0","D5CW9","636016136","2019-10-23 07:31:18-03","9493200","AIS-S","29","CRYSTALGATE"
"1569565729","-44.2686917","-2.396445","12","0.1","VRJH4","477196300","2019-10-23 11:38:52-03","9493121","AIS-S","29","CSB PROSPERITY"
"1569474983","-44.3795333","-2.551175","235","0.1","VRLB5","477464900","2019-10-23 09:34:02-03","9493119","AIS-S","29","CSB TALENT"
"1569406291","-38.2052917","-14.1798033","28","11.7","C6ZB2","311035300","2019-10-23 11:30:42-03","9542520","AIS-S","29","CS CALLA"
"1569519041","-60.6177217","-32.9711267","357","0","C6ZB6","311035600","2019-10-23 01:24:45-03","9542544","AIS-S","29","CS CANDY"
"1569406139","-39.2556617","-19.5641333","346.1","2.1","PR 4367","710018820","2019-10-23 11:35:14-03","9762003","AIS-S","29","C SEPETIBA"
"1569400417","-46.24815","-24.115205","238","0.1","V7EC2","538007269","2019-10-23 05:34:01-03","9748409","AIS-S","29","CS JENNA"
"1569423757","-43.14739","-22.8448133","61.1","0.2","PQ9080","710000693","2019-10-23 03:05:42-03","0","AIS-S","29","C_TAXI  I"
"1569423529","-57.5350417","-38.04916","80.6","4.2","LW 4926","701000617","2019-10-23 11:36:43-03","8747719","AIS-S","29","CTE LUIS PIEDRABUENA"
"1569409381","-46.3290017","-24.0765167","225","0.1","BRPE","413192000","2019-10-23 11:34:32-03","9523172","AIS-S","29","CUI PING FENG"
"1569476997","-34.8609717","-8.053645","48","9","PWCE","710470000","2019-10-23 02:31:10-03","0","AIS-S","29","CV CABOCLO"
"1569463645","-28.4855933","-31.2786383","115","17.7","9HA4003","256771000","2019-10-23 08:10:31-03","9723241","AIS-S","29","CZECH"
"1569422347","-56.199465","-34.89861","164","0.1","CXMC","770576466","2019-10-23 09:32:40-03","9828742","AIS-S","29","D11_21 DE JULIO"
"1569412860","-56.2086917","-34.899895","218","12.9","3FND5","352515000","2019-10-23 05:04:42-03","9127071","AIS-S","29","DAHLIA"
"1569418623","-37.7389","-14.534","295","6.7","OZHP2","219332000","2019-10-23 01:37:05-03","9513440","AIS-S","29","DAN CISNE"
"1569470000","-41.741655","-22.3729317","173","0.2","PPOV","710001100","2019-10-23 06:41:55-03","9271743","AIS-S","29","DANKO TIDE"
"1569468068","-36.0770667","-15.1861","203","0","OZHQ2","219333000","2019-10-23 06:41:08-03","9513438","AIS-S","29","DAN SABIA"
